date,total_clones,unique_clones
2023-05-02,15,8
2023-05-03,3,3
2023-05-04,5,3
2023-05-05,5,3
2023-05-06,4,2
2023-05-07,3,2
2023-05-08,1,1
2023-05-09,3,2
2023-05-10,3,2
2023-05-11,2,1
2023-05-12,3,2
2023-05-13,3,2
2023-05-14,3,2
2023-05-15,2,1
2023-05-16,3,2
2023-05-17,3,2
2023-05-18,3,2
2023-05-19,1,1
2023-05-20,1,1
2023-05-21,3,2
2023-05-22,1,1
2023-05-23,3,2
2023-05-24,1,1
2023-05-25,3,2
2023-05-26,3,2
2023-05-27,3,2
2023-05-28,3,2
2023-05-29,1,1
2023-05-30,1,1
2023-05-31,1,1
2023-06-01,3,2
2023-06-02,3,2
2023-06-03,3,2
2023-06-04,3,2
2023-06-05,1,1
2023-06-06,1,1
2023-06-07,3,2
2023-06-08,1,1
2023-06-09,3,2
2023-06-10,1,1
2023-06-11,3,2
2023-06-12,1,1
2023-06-13,3,2
2023-06-14,3,2
2023-06-15,3,2
2023-06-16,3,2
2023-06-17,3,2
2023-06-18,3,2
2023-06-19,4,3
2023-06-20,3,2
2023-06-21,5,3
2023-06-22,3,2
2023-06-23,3,2
2023-06-24,3,2
2023-06-25,3,2
2023-06-26,4,3
2023-06-27,0,0
